Festival,Location
Dashville Skyline,"Lower Belford, New South Wales, Australia"
Promiseland Festival,"Main Beach, Queensland, Australia"
Dragon Dreaming,"Wee Jasper, New South Wales, Australia"
Listen Out Brisbane,"Brisbane, Queensland, Australia"
Knockout Outdoor,"Sydney Olympic Park, New South Wales, Australia"
Mode Festival Melbourne,"Port Melbourne, Victoria, Australia"
Listen Out Sydney,"Sydney, New South Wales, Australia"
Mode Festival Sydney,"Cockatoo Island, New South Wales, Australia"
Ability Fest Victoria,"Melbourne, Victoria, Australia"
Ability Fest Queensland,"Herston, Queensland, Australia"
Interstellar Groove,"Rokewood, Victoria, Australia"
AURA Music & Arts Festival,"Tallarook, Victoria, Australia"
Airlie Beach Festival of Music,"Airlie Beach, Queensland, Australia"
Handpicked Festival,"Langhorne Creek, South Australia, Australia"
Strawberry Fields,"Tocumwal, New South Wales, Australia"
One Electric Day,"Werribee South, Victoria, Australia"
Queenscliff Music Festival,"Queenscliff, Victoria, Australia"
A3,"Lardner, Victoria, Australia"
Subsonic Music Festival,"Monkerai, New South Wales, Australia"
Palm Tree Music Festival Sydney,"Sydney Olympic Park, New South Wales, Australia"
Good Things Melbourne,"Flemington, Victoria, Australia"
Meredith Music Festival,"Meredith, Victoria, Australia"
Palm Tree Music Festival Brisbane,"Sandstone Point, Queensland, Australia"
Good Things Sydney,"Sydney, New South Wales, Australia"
Palm Tree Music Festival Melbourne,"Melbourne, Victoria, Australia"
Good Things Brisbane,"Brisbane, Queensland, Australia"
Beyond The Valley,"Barunah Plains, Victoria, Australia"
Lost Paradise,"Glenworth Valley, New South Wales, Australia"
Wildlands Brisbane,"Brisbane, Queensland, Australia"
NYD Foam Party,"Eatons Hill, Queensland, Australia"
Let Them Eat Cake NYD,"Werribee South, Victoria, Australia"
Wildlands Perth,"Joondalup, Western Australia, Australia"
Wildlands Adelaide,"Adelaide, South Australia, Australia"
Juicy Fest Melbourne,"Ascot Vale, Victoria, Australia"
Juicy Fest Sydney,"Sydney Olympic Park, New South Wales, Australia"
Juicy Fest Gold Coast,"Main Beach, Queensland, Australia"
Party In The Paddock,"Carrick, Tasmania, Australia"
Hello Sunshine Melbourne,"Scoresby, Victoria, Australia"
Hello Sunshine Gold Coast,"Southport, Queensland, Australia"
Byron Bay Bluesfest,"Tyagarah, New South Wales, Australia"